amount,transaction_type,sec_code,settlement_date,effective_date,days_to_settle,company_name,company_entry_desc,odfi_routing,rdfi_routing,receiver_account_type,is_returned,return_code,risk_score,is_fraud
3200.74,credit,WEB,2024-04-23T12:00:00.000000,2024-05-03T15:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,426,false
134.8,credit,PPD,2024-12-20T07:00:00.000000,2024-10-25T04:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,418,false
1382.4,credit,CCD,2024-06-05T21:00:00.000000,2024-04-28T14:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,152,false
1123.82,debit,WEB,2024-10-24T11:00:00.000000,2024-11-22T08:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,307,false
3684.99,debit,CCD,2024-08-30T17:00:00.000000,2024-08-23T08:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,385,false
3386.73,debit,CCD,2024-09-28T11:00:00.000000,2024-12-07T00:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,188,false
4461.98,credit,CCD,2024-08-05T23:00:00.000000,2024-08-26T09:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,772,false
443.82,debit,PPD,2024-10-08T10:00:00.000000,2024-12-12T17:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,550,false
2115.39,credit,PPD,2024-06-29T22:00:00.000000,2024-03-21T02:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,484,false
158.69,credit,CCD,2024-08-20T08:00:00.000000,2024-08-14T11:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,246,false
1101.0,debit,TEL,2024-06-05T08:00:00.000000,2024-10-27T09:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,869,false
2531.72,credit,PPD,2024-04-28T03:00:00.000000,2024-11-23T13:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,230,false
142.41,debit,TEL,2024-04-08T10:00:00.000000,2024-12-19T08:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,307,false
1002.2,debit,TEL,2024-03-02T23:00:00.000000,2024-08-21T09:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,878,false
3252.92,debit,CCD,2024-10-01T22:00:00.000000,2024-04-11T12:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,724,false
2729.26,debit,TEL,2024-04-04T06:00:00.000000,2024-09-04T03:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,savings,false,,147,false
1110.0,debit,TEL,2024-04-20T23:00:00.000000,2024-05-01T12:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,825,false
2950.44,debit,TEL,2024-09-04T08:00:00.000000,2024-10-19T11:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,474,false
4049.06,credit,CCD,2024-10-28T16:00:00.000000,2024-10-21T09:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,936,false
42.43,credit,CCD,2024-11-01T09:00:00.000000,2024-12-24T09:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,59,false
4031.04,debit,PPD,2024-02-21T06:00:00.000000,2024-01-12T21:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,true,,575,false
3493.72,credit,PPD,2024-05-31T07:00:00.000000,2024-07-21T08:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,422,false
1707.85,credit,TEL,2024-07-03T05:00:00.000000,2024-01-05T18:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,991,false
785.84,credit,CCD,2024-06-03T00:00:00.000000,2024-12-17T23:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,426,false
4786.49,debit,CCD,2024-12-28T17:00:00.000000,2024-01-26T19:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,savings,false,,570,false
1689.61,credit,TEL,2024-03-05T08:00:00.000000,2024-09-11T09:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,542,false
472.8,credit,PPD,2024-01-24T01:00:00.000000,2024-04-27T19:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,137,false
492.61,debit,CCD,2024-10-10T09:00:00.000000,2024-06-29T07:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,397,false
4239.0,credit,PPD,2024-12-23T04:00:00.000000,2024-11-21T06:00:00.000000,2,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,248,false
3022.59,credit,TEL,2024-11-22T15:00:00.000000,2024-11-13T08:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,261,false
4037.57,credit,CCD,2024-02-22T00:00:00.000000,2024-12-13T23:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,208,false
3651.36,credit,TEL,2024-10-20T09:00:00.000000,2024-12-03T21:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,338,false
2685.78,credit,WEB,2024-08-28T15:00:00.000000,2024-03-11T20:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,662,false
4865.85,credit,TEL,2024-08-13T10:00:00.000000,2024-02-19T20:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,80,false
1898.89,credit,TEL,2024-04-04T01:00:00.000000,2024-11-26T01:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,944,false
2764.68,debit,TEL,2024-05-09T15:00:00.000000,2024-06-07T14:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,460,false
4148.73,credit,CCD,2024-02-28T02:00:00.000000,2024-01-18T18:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,867,false
3096.41,credit,TEL,2024-07-24T15:00:00.000000,2024-07-05T23:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,379,false
4309.92,credit,TEL,2024-02-07T18:00:00.000000,2024-03-08T02:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,94,false
2890.99,credit,WEB,2024-11-18T21:00:00.000000,2024-05-31T10:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,548,false
3525.81,debit,CCD,2024-01-28T04:00:00.000000,2024-07-31T05:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,741,false
238.66,debit,WEB,2024-03-17T18:00:00.000000,2024-04-12T04:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,849,false
1147.21,debit,TEL,2024-06-04T02:00:00.000000,2024-10-03T11:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,195,false
1454.05,credit,CCD,2024-05-07T03:00:00.000000,2024-09-28T16:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,52,false
