amount,transaction_type,sec_code,settlement_date,effective_date,days_to_settle,company_name,company_entry_desc,odfi_routing,rdfi_routing,receiver_account_type,is_returned,return_code,risk_score,is_fraud
1625.93,credit,WEB,2024-05-10T23:00:00.000000,2024-04-01T14:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,694,false
762.74,credit,TEL,2024-11-30T08:00:00.000000,2024-11-04T08:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,638,false
3258.16,debit,CCD,2024-07-26T20:00:00.000000,2024-12-06T00:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,279,false
371.46,credit,PPD,2024-05-02T09:00:00.000000,2024-02-24T20:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,643,false
2684.05,debit,PPD,2024-09-04T17:00:00.000000,2024-11-01T22:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,555,false
1834.79,credit,TEL,2024-12-08T12:00:00.000000,2024-11-13T11:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,825,false
299.41,debit,WEB,2024-03-02T05:00:00.000000,2024-04-21T01:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,946,false
2542.1,debit,CCD,2024-11-25T05:00:00.000000,2024-07-07T10:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,36,false
197.1,credit,WEB,2024-02-08T06:00:00.000000,2024-03-13T01:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,636,false
2173.89,debit,PPD,2024-09-13T15:00:00.000000,2024-04-14T08:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,102,false
358.58,debit,TEL,2024-10-08T07:00:00.000000,2024-01-20T19:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,256,false
462.66,debit,CCD,2024-08-19T10:00:00.000000,2024-11-29T06:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,124,false
2128.35,credit,CCD,2024-08-18T13:00:00.000000,2024-01-06T10:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,532,false
4135.99,credit,WEB,2024-03-12T17:00:00.000000,2024-07-28T21:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,13,false
