amount,timestamp,transaction_type,mcc_code,merchant_city,merchant_state,merchant_country,entry_mode,card_present,is_international,response_code,txn_count_1h,txn_amount_1h,distinct_merchants_24h,distinct_countries_30d,is_fraud
320.07,2024-11-14T17:00:00.000000,refund,4111,Chicago,TX,US,contactless,true,false,00,2,414.95,7,3,false
13.48,2024-01-14T12:00:00.000000,purchase,5812,New York,TX,US,ecommerce,true,false,51,4,225.85,8,2,false
138.24,2024-10-30T18:00:00.000000,purchase,5814,Austin,TX,US,contactless,false,false,51,4,361.32,5,1,false
112.38,2024-12-05T00:00:00.000000,refund,5912,Austin,NY,US,ecommerce,true,false,00,1,56.59,8,1,false
368.5,2024-02-12T20:00:00.000000,refund,5814,Austin,IL,US,chip,true,false,00,0,389.37,4,2,false
338.67,2024-08-07T04:00:00.000000,purchase,4111,New York,IL,US,chip,false,false,51,4,468.92,7,2,false
446.2,2024-08-24T05:00:00.000000,purchase,5814,Austin,IL,US,chip,true,false,00,1,348.06,7,1,false
44.38,2024-01-26T08:00:00.000000,refund,5411,Austin,IL,US,chip,true,false,51,3,67.65,8,2,false
211.54,2024-07-13T10:00:00.000000,purchase,4111,Chicago,TX,US,contactless,true,false,51,2,206.78,5,2,false
15.87,2024-04-18T14:00:00.000000,refund,5411,Austin,TX,US,chip,true,false,00,2,225.44,3,1,false
110.1,2024-06-16T10:00:00.000000,purchase,7011,Chicago,TX,US,contactless,true,false,00,4,89.44,7,1,false
253.17,2024-07-13T08:00:00.000000,refund,7011,New York,TX,US,ecommerce,false,false,51,2,295.16,1,3,false
14.24,2024-08-03T08:00:00.000000,purchase,5812,Chicago,NY,US,ecommerce,true,false,00,3,356.32,5,3,false
100.22,2024-02-11T15:00:00.000000,refund,5814,Austin,IL,US,chip,true,false,00,0,100.97,8,3,false
325.29,2024-01-10T23:00:00.000000,purchase,7011,Austin,NY,US,contactless,true,true,51,4,227.34,7,2,false
272.93,2024-10-03T01:00:00.000000,refund,5814,Chicago,IL,US,ecommerce,true,false,00,3,125.04,6,3,false
111.0,2024-06-28T07:00:00.000000,purchase,5411,Austin,NY,US,ecommerce,true,false,00,1,345.86,1,3,false
295.04,2024-11-28T02:00:00.000000,refund,4111,Chicago,IL,US,ecommerce,false,false,00,0,453.58,2,2,false
404.91,2024-11-29T01:00:00.000000,refund,7011,Austin,IL,US,ecommerce,true,false,51,4,398.24,6,2,false
4.24,2024-01-16T07:00:00.000000,refund,4111,Chicago,NY,US,chip,false,false,00,2,359.19,7,2,false
403.1,2024-04-12T00:00:00.000000,refund,7011,Chicago,NY,US,chip,true,false,00,4,61.77,5,3,false
349.37,2024-11-14T04:00:00.000000,refund,5814,New York,TX,US,chip,true,false,00,1,57.08,6,3,false
170.79,2024-05-02T04:00:00.000000,purchase,7011,Chicago,NY,US,ecommerce,true,false,00,2,224.7,5,1,false
78.58,2024-08-30T21:00:00.000000,refund,5912,Chicago,IL,US,chip,true,false,00,0,181.47,5,3,false
478.65,2024-02-28T18:00:00.000000,purchase,7011,New York,IL,US,ecommerce,true,false,00,4,261.91,2,3,false
168.96,2024-04-21T14:00:00.000000,refund,5411,Austin,IL,US,chip,true,false,51,3,192.04,5,2,false
47.28,2024-12-24T08:00:00.000000,purchase,5812,Chicago,IL,US,chip,true,false,00,1,395.53,7,2,false
49.26,2024-07-07T05:00:00.000000,refund,5411,New York,NY,US,contactless,true,false,00,4,255.83,8,3,false
423.9,2024-11-06T19:00:00.000000,refund,4111,New York,TX,US,contactless,true,false,51,3,474.88,4,1,false
302.26,2024-02-28T05:00:00.000000,purchase,5814,Chicago,IL,US,ecommerce,true,false,00,4,189.34,4,3,false
403.76,2024-06-08T03:00:00.000000,refund,5814,Austin,IL,US,ecommerce,true,false,00,1,190.3,6,2,false
365.14,2024-10-23T00:00:00.000000,purchase,7011,New York,IL,US,ecommerce,true,false,00,4,384.13,3,1,false
268.58,2024-06-08T18:00:00.000000,purchase,5814,Chicago,NY,US,contactless,false,false,51,2,456.13,6,1,false
486.58,2024-12-12T12:00:00.000000,refund,5812,New York,IL,US,chip,true,false,00,2,282.75,1,3,false
189.89,2024-07-22T22:00:00.000000,refund,5812,Austin,TX,US,contactless,true,false,00,3,329.77,1,3,false
276.47,2024-04-11T02:00:00.000000,purchase,7011,Chicago,TX,US,chip,true,false,51,2,75.04,2,1,false
414.87,2024-10-30T22:00:00.000000,refund,7011,Chicago,IL,US,ecommerce,true,false,00,0,434.41,1,2,false
309.64,2024-11-17T07:00:00.000000,refund,4111,Austin,IL,US,contactless,true,false,00,0,89.43,7,1,false
430.99,2024-02-22T22:00:00.000000,refund,7011,Austin,NY,US,ecommerce,true,false,51,4,356.02,2,2,false
289.1,2024-06-03T21:00:00.000000,purchase,5411,New York,IL,US,chip,true,false,00,0,209.79,2,3,false
352.58,2024-11-03T03:00:00.000000,refund,5411,Chicago,NY,US,chip,true,false,51,0,154.76,8,1,false
23.87,2024-10-16T01:00:00.000000,purchase,5411,New York,TX,US,contactless,true,true,51,1,384.32,6,2,false
114.72,2024-06-26T17:00:00.000000,purchase,5812,Chicago,NY,US,contactless,true,false,00,1,223.13,4,2,false
145.4,2024-08-07T21:00:00.000000,purchase,5912,New York,NY,US,contactless,true,false,00,0,313.23,5,1,false
40.82,2024-07-08T02:00:00.000000,purchase,5814,Chicago,IL,US,ecommerce,false,false,51,1,58.78,5,2,false
117.16,2024-09-16T20:00:00.000000,refund,4111,Austin,TX,US,chip,true,false,00,0,65.79,4,1,false
51.4,2024-06-23T00:00:00.000000,refund,7011,New York,NY,US,contactless,true,false,00,3,101.43,1,3,false
139.71,2024-08-03T15:00:00.000000,purchase,4111,Chicago,TX,US,ecommerce,true,false,00,1,311.28,1,3,false
318.21,2024-02-24T13:00:00.000000,purchase,5812,Chicago,NY,US,ecommerce,true,false,51,0,126.56,2,1,false
183.05,2024-07-04T20:00:00.000000,purchase,7011,New York,TX,US,ecommerce,true,false,00,0,229.32,1,3,false
185.72,2024-08-23T22:00:00.000000,purchase,7011,Austin,NY,US,chip,true,false,00,4,427.71,4,3,false
105.54,2024-03-19T13:00:00.000000,refund,5812,Austin,TX,US,contactless,true,false,00,3,271.75,2,1,false
134.22,2024-03-31T23:00:00.000000,purchase,5814,New York,NY,US,contactless,false,false,51,3,2.88,2,2,false
468.39,2024-09-24T20:00:00.000000,purchase,7011,New York,TX,US,ecommerce,true,false,00,4,441.35,2,1,false
324.37,2024-05-18T19:00:00.000000,purchase,5814,Chicago,NY,US,contactless,true,false,00,4,118.94,3,1,false
304.96,2024-10-02T15:00:00.000000,purchase,5812,Chicago,IL,US,chip,true,false,00,4,294.43,7,1,false
86.4,2024-08-26T13:00:00.000000,purchase,4111,Austin,TX,US,contactless,true,false,51,2,237.86,3,3,false
364.83,2024-10-30T08:00:00.000000,refund,7011,Austin,IL,US,ecommerce,true,false,00,0,205.08,2,2,false
82.54,2024-06-14T07:00:00.000000,refund,5912,Austin,IL,US,chip,true,false,00,2,39.7,3,3,false
190.35,2024-02-14T08:00:00.000000,refund,5814,New York,NY,US,contactless,true,false,00,1,300.05,5,3,false
494.77,2024-08-18T07:00:00.000000,refund,7011,New York,IL,US,chip,false,false,51,4,122.36,5,1,false
320.36,2024-08-25T18:00:00.000000,refund,5814,New York,TX,US,contactless,true,false,00,0,273.67,8,3,false
278.92,2024-11-08T21:00:00.000000,purchase,7011,Austin,NY,US,chip,true,false,00,0,309.88,2,2,false
342.62,2024-07-13T10:00:00.000000,refund,7011,Austin,NY,US,ecommerce,true,false,00,1,278.77,8,1,false
421.58,2024-01-15T15:00:00.000000,purchase,7011,Austin,TX,US,ecommerce,true,false,51,3,412.63,5,2,false
388.22,2024-06-15T05:00:00.000000,refund,4111,Austin,TX,US,ecommerce,false,false,51,0,24.46,7,2,false
115.29,2024-09-06T06:00:00.000000,refund,5912,New York,IL,US,chip,true,true,00,3,74.13,6,3,false
17.02,2024-06-30T08:00:00.000000,refund,7011,Chicago,IL,US,chip,true,false,00,0,326.64,5,3,false
158.41,2024-06-23T08:00:00.000000,refund,5814,New York,NY,US,ecommerce,false,false,00,2,18.36,3,3,false
134.6,2024-11-01T22:00:00.000000,purchase,4111,Chicago,TX,US,ecommerce,false,false,00,4,426.91,2,1,false
106.28,2024-05-21T17:00:00.000000,refund,5411,Chicago,TX,US,chip,true,false,00,3,333.5,5,3,false
471.51,2024-01-06T16:00:00.000000,purchase,5814,New York,NY,US,chip,true,false,00,2,419.01,1,2,false
438.31,2024-04-07T02:00:00.000000,refund,5814,New York,IL,US,chip,false,false,00,0,149.22,7,2,false
158.02,2024-05-03T23:00:00.000000,refund,5912,New York,TX,US,chip,true,false,51,4,460.19,7,1,false
328.06,2024-07-27T15:00:00.000000,refund,5411,Austin,IL,US,chip,false,false,51,2,24.52,6,3,false
198.42,2024-10-11T07:00:00.000000,purchase,4111,New York,IL,US,contactless,true,false,00,4,208.48,1,2,false
457.36,2024-12-19T15:00:00.000000,purchase,7011,Austin,NY,US,contactless,true,false,00,0,89.12,5,2,false
229.97,2024-11-26T22:00:00.000000,refund,5814,Chicago,TX,US,contactless,false,false,00,0,336.05,5,2,false
133.18,2024-09-08T14:00:00.000000,refund,5912,New York,NY,US,chip,true,false,51,2,305.54,3,2,false
124.07,2024-01-09T02:00:00.000000,purchase,5912,Austin,NY,US,chip,true,false,51,0,345.76,8,1,false
281.12,2024-05-30T07:00:00.000000,purchase,5912,Austin,IL,US,chip,false,false,00,1,297.48,2,2,false
132.11,2024-07-26T22:00:00.000000,refund,5411,Austin,TX,US,ecommerce,false,false,00,4,393.65,8,2,false
292.71,2024-05-04T09:00:00.000000,refund,7011,New York,NY,US,ecommerce,true,false,00,0,88.71,4,2,false
449.01,2024-12-05T18:00:00.000000,purchase,4111,Chicago,TX,US,ecommerce,true,false,00,0,227.67,7,2,false
200.3,2024-07-07T15:00:00.000000,refund,5814,New York,NY,US,ecommerce,true,false,00,1,289.48,3,2,false
110.44,2024-10-10T16:00:00.000000,purchase,5912,Austin,TX,US,contactless,false,false,00,4,465.74,8,3,false
498.77,2024-06-25T13:00:00.000000,refund,7011,Chicago,NY,US,chip,true,false,00,3,46.56,2,1,false
255.25,2024-10-08T10:00:00.000000,refund,7011,Chicago,IL,US,contactless,false,false,00,1,149.65,3,1,false
46.36,2024-06-29T22:00:00.000000,purchase,5812,Chicago,IL,US,chip,false,false,00,1,184.28,7,3,false
