amount,timestamp,transaction_type,mcc_code,merchant_city,merchant_state,merchant_country,entry_mode,card_present,is_international,response_code,txn_count_1h,txn_amount_1h,distinct_merchants_24h,distinct_countries_30d,is_fraud
162.59,2024-12-20T09:00:00.000000,purchase,7011,Austin,TX,US,ecommerce,true,false,51,4,352.51,4,3,false
76.27,2024-11-14T18:00:00.000000,purchase,5411,New York,NY,US,chip,true,false,00,0,2.18,4,2,false
325.82,2024-03-09T00:00:00.000000,purchase,5912,Austin,TX,US,chip,true,false,00,0,294.48,7,3,false
37.15,2024-09-03T01:00:00.000000,purchase,4111,Chicago,IL,US,chip,false,false,00,2,66.8,6,3,false
268.41,2024-09-05T08:00:00.000000,purchase,4111,New York,TX,US,contactless,false,false,00,3,188.22,6,3,false
183.48,2024-12-10T03:00:00.000000,purchase,5912,Austin,TX,US,ecommerce,false,false,00,3,438.26,5,1,false
29.94,2024-12-20T06:00:00.000000,purchase,5812,Austin,IL,US,contactless,true,false,00,1,303.07,5,1,false
254.21,2024-12-11T15:00:00.000000,refund,5814,Chicago,IL,US,contactless,true,false,00,1,217.68,2,2,false
19.71,2024-05-28T22:00:00.000000,purchase,7011,Chicago,TX,US,ecommerce,false,false,00,4,441.3,6,2,false
217.39,2024-09-21T09:00:00.000000,purchase,5411,Austin,TX,US,contactless,true,false,00,2,404.76,2,1,false
35.86,2024-08-25T14:00:00.000000,purchase,4111,Chicago,TX,US,contactless,true,false,00,3,40.68,6,1,false
46.27,2024-08-26T03:00:00.000000,purchase,4111,Austin,IL,US,contactless,false,false,51,3,224.45,6,2,false
212.84,2024-10-08T06:00:00.000000,purchase,7011,Chicago,NY,US,contactless,true,true,00,1,184.18,3,3,false
413.6,2024-06-08T02:00:00.000000,purchase,5411,Chicago,NY,US,chip,false,false,51,1,17.84,6,1,false
62.78,2024-08-30T00:00:00.000000,purchase,7011,Chicago,TX,US,contactless,true,false,00,1,417.16,2,1,false
112.4,2024-05-28T14:00:00.000000,purchase,5814,New York,IL,US,ecommerce,false,false,00,3,149.65,6,3,false
314.09,2024-02-09T16:00:00.000000,purchase,5411,New York,NY,US,contactless,false,false,00,0,32.52,3,1,false
473.91,2024-08-18T08:00:00.000000,refund,5812,Chicago,TX,US,contactless,true,false,00,4,129.07,7,3,false
288.97,2024-07-17T06:00:00.000000,purchase,4111,New York,TX,US,chip,false,false,51,2,391.03,1,3,false
198.94,2024-04-17T02:00:00.000000,purchase,7011,New York,TX,US,chip,false,false,51,1,102.85,6,3,false
488.15,2024-10-24T02:00:00.000000,refund,7011,Austin,NY,US,chip,true,false,00,0,253.96,4,3,false
24.24,2024-03-13T23:00:00.000000,purchase,5814,Austin,NY,US,contactless,true,false,51,2,250.41,7,2,false
429.38,2024-09-25T08:00:00.000000,purchase,7011,Chicago,TX,US,ecommerce,true,false,00,4,263.51,1,3,false
145.52,2024-07-03T04:00:00.000000,purchase,5814,Austin,NY,US,chip,false,false,51,3,384.44,3,1,false
72.98,2024-11-04T20:00:00.000000,purchase,4111,Chicago,NY,US,ecommerce,true,true,00,1,346.33,4,2,false
59.78,2024-09-17T08:00:00.000000,purchase,7011,New York,IL,US,chip,false,false,00,4,323.74,8,1,false
154.93,2024-02-27T22:00:00.000000,purchase,7011,Chicago,NY,US,ecommerce,true,false,00,2,138.82,6,3,false
408.25,2024-07-05T07:00:00.000000,purchase,5812,New York,IL,US,ecommerce,true,false,00,2,321.54,7,2,false
91.18,2024-09-11T15:00:00.000000,purchase,5812,New York,TX,US,chip,true,false,51,1,158.85,5,2,false
291.22,2024-07-20T00:00:00.000000,refund,5812,Chicago,NY,US,contactless,true,false,00,2,341.71,4,2,false
319.82,2024-03-22T00:00:00.000000,refund,5812,Austin,IL,US,contactless,true,false,00,1,348.68,3,2,false
186.83,2024-09-08T21:00:00.000000,purchase,5411,Chicago,TX,US,contactless,true,false,00,3,479.15,8,1,false
274.32,2024-08-18T12:00:00.000000,purchase,5812,Chicago,TX,US,chip,true,false,00,0,23.17,3,1,false
32.33,2024-06-03T23:00:00.000000,purchase,5912,Chicago,IL,US,ecommerce,true,false,00,0,418.09,6,1,false
30.74,2024-03-13T13:00:00.000000,purchase,5814,Chicago,TX,US,contactless,false,false,00,1,405.65,1,3,false
103.77,2024-06-25T12:00:00.000000,refund,5814,New York,TX,US,contactless,false,false,00,4,147.58,1,3,false
340.52,2024-06-10T03:00:00.000000,refund,7011,Chicago,NY,US,ecommerce,true,false,00,2,300.96,7,3,false
214.37,2024-06-18T00:00:00.000000,refund,7011,New York,IL,US,ecommerce,false,true,00,0,432.48,4,3,false
157.76,2024-06-15T10:00:00.000000,refund,5814,New York,TX,US,ecommerce,true,false,00,2,368.47,6,2,false
293.2,2024-07-22T03:00:00.000000,refund,4111,New York,NY,US,ecommerce,true,false,00,4,468.79,7,3,false
227.14,2024-04-10T22:00:00.000000,purchase,7011,Austin,IL,US,chip,false,false,00,0,175.81,1,2,false
150.58,2024-01-07T23:00:00.000000,refund,5812,New York,IL,US,ecommerce,true,false,00,0,425.66,8,1,false
397.4,2024-05-28T08:00:00.000000,refund,5812,Austin,IL,US,chip,true,false,00,2,428.95,8,2,false
349.8,2024-07-09T02:00:00.000000,refund,5411,Chicago,IL,US,ecommerce,true,false,00,1,129.86,4,3,false
122.8,2024-07-20T12:00:00.000000,purchase,4111,Chicago,TX,US,chip,true,false,00,2,253.19,3,3,false
287.64,2024-10-28T02:00:00.000000,refund,5814,Austin,TX,US,chip,true,false,51,2,222.41,2,2,false
263.07,2024-07-03T13:00:00.000000,refund,5411,New York,TX,US,contactless,true,false,00,2,12.78,3,1,false
437.69,2024-05-20T01:00:00.000000,refund,5814,Austin,TX,US,ecommerce,true,false,00,2,40.89,3,3,false
364.99,2024-05-23T03:00:00.000000,refund,5912,Chicago,TX,US,ecommerce,true,false,51,2,395.54,5,2,false
144.68,2024-01-27T21:00:00.000000,purchase,4111,Chicago,TX,US,ecommerce,true,false,00,4,441.74,3,3,false
490.11,2024-05-26T20:00:00.000000,refund,5411,Chicago,IL,US,chip,true,true,00,2,107.71,3,1,false
59.91,2024-03-17T07:00:00.000000,purchase,5812,Austin,TX,US,contactless,true,false,00,3,300.37,6,1,false
209.64,2024-05-16T13:00:00.000000,refund,5814,New York,NY,US,contactless,true,false,00,3,438.04,5,2,false
378.81,2024-09-18T10:00:00.000000,purchase,7011,Austin,TX,US,chip,true,false,00,2,40.25,3,2,false
76.84,2024-04-07T11:00:00.000000,refund,5411,New York,TX,US,chip,true,false,00,0,145.5,8,3,false
244.99,2024-08-07T00:00:00.000000,refund,5814,Austin,NY,US,ecommerce,true,false,00,1,419.94,2,3,false
