amount,timestamp,transaction_type,mcc_code,merchant_city,merchant_state,merchant_country,entry_mode,pin_used,card_present,is_international,is_overdraft,overdraft_fee,response_code,txn_count_1h,txn_amount_1h,is_fraud
192.19,2024-08-14T21:00:00.000000,atm_withdrawal,5812,Phoenix,WA,US,signature,false,true,false,false,,00,3,20.34,false
8.48,2024-04-19T16:00:00.000000,refund,5814,Dallas,WA,US,atm,false,true,false,false,,51,0,159.89,false
83.23,2024-08-30T23:00:00.000000,atm_withdrawal,5812,Phoenix,TX,US,atm,false,true,false,false,,51,1,215.83,false
67.74,2024-03-27T21:00:00.000000,refund,5411,Seattle,TX,US,pin,true,true,false,false,,00,0,55.24,false
221.2,2024-02-13T09:00:00.000000,purchase,5912,Dallas,TX,US,contactless,true,true,false,false,,00,1,251.86,false
203.33,2024-09-20T21:00:00.000000,refund,,Seattle,AZ,US,atm,true,true,false,false,,51,0,43.66,false
267.76,2024-11-20T19:00:00.000000,purchase,5411,Phoenix,AZ,US,contactless,true,false,false,false,,00,3,8.85,false
26.99,2024-06-20T02:00:00.000000,refund,5912,Phoenix,AZ,US,atm,true,true,false,false,,51,1,95.61,false
127.15,2024-04-30T21:00:00.000000,atm_withdrawal,5912,Dallas,TX,US,atm,true,true,false,false,,51,2,291.87,false
9.91,2024-06-07T07:00:00.000000,purchase,5812,Dallas,AZ,US,signature,false,false,false,false,,00,3,288.36,false
66.37,2024-04-11T04:00:00.000000,refund,5814,Phoenix,WA,US,contactless,false,true,false,false,,00,2,91.0,false
152.1,2024-01-13T01:00:00.000000,refund,5814,Seattle,TX,US,atm,true,true,false,false,,51,3,223.68,false
8.93,2024-05-05T15:00:00.000000,atm_withdrawal,,Phoenix,AZ,US,signature,true,true,false,false,,00,2,246.51,false
60.45,2024-11-08T02:00:00.000000,atm_withdrawal,,Phoenix,WA,US,atm,true,true,false,false,,00,3,191.05,false
195.32,2024-08-21T13:00:00.000000,atm_withdrawal,5812,Phoenix,WA,US,signature,false,true,false,false,,51,0,221.5,false
163.94,2024-11-18T18:00:00.000000,refund,5812,Seattle,AZ,US,signature,false,false,false,false,,00,2,45.59,false
66.91,2024-04-09T22:00:00.000000,atm_withdrawal,5411,Seattle,WA,US,contactless,true,false,false,false,,00,0,56.38,false
177.19,2024-12-22T12:00:00.000000,refund,5812,Phoenix,WA,US,signature,true,true,false,false,,00,1,39.46,false
243.02,2024-09-10T12:00:00.000000,atm_withdrawal,5814,Dallas,TX,US,atm,true,true,false,false,,51,0,7.86,false
2.94,2024-05-04T04:00:00.000000,refund,5812,Seattle,WA,US,pin,true,true,false,false,,00,2,295.79,false
241.94,2024-12-01T22:00:00.000000,purchase,5812,Phoenix,TX,US,atm,false,true,false,true,,00,3,185.08,false
209.74,2024-01-03T03:00:00.000000,atm_withdrawal,5912,Phoenix,WA,US,atm,false,true,false,false,,00,0,181.68,false
102.73,2024-08-05T07:00:00.000000,purchase,5812,Phoenix,TX,US,signature,false,true,false,false,,00,3,183.71,false
47.49,2024-03-31T22:00:00.000000,refund,,Dallas,WA,US,atm,false,true,true,false,,00,1,178.91,false
287.21,2024-09-22T14:00:00.000000,purchase,5411,Seattle,AZ,US,signature,true,true,false,false,,00,1,69.27,false
101.64,2024-01-26T17:00:00.000000,atm_withdrawal,5812,Phoenix,WA,US,contactless,true,true,false,false,,51,2,7.83,false
28.73,2024-05-07T03:00:00.000000,atm_withdrawal,,Seattle,AZ,US,signature,true,true,false,false,,00,3,23.84,false
29.92,2024-08-21T04:00:00.000000,refund,7011,Phoenix,WA,US,contactless,false,true,false,false,,00,0,233.95,false
254.4,2024-08-25T21:00:00.000000,atm_withdrawal,7011,Phoenix,AZ,US,pin,false,true,false,false,,51,0,40.23,false
181.51,2024-09-28T17:00:00.000000,purchase,5912,Seattle,AZ,US,atm,true,false,false,false,,00,1,253.84,false
242.33,2024-10-31T10:00:00.000000,atm_withdrawal,5912,Dallas,TX,US,contactless,true,true,false,false,,00,3,140.63,false
219.19,2024-08-14T19:00:00.000000,purchase,7011,Dallas,AZ,US,pin,false,true,false,false,,00,3,194.87,false
161.33,2024-09-15T13:00:00.000000,atm_withdrawal,,Seattle,WA,US,signature,true,false,false,false,,51,1,55.19,false
291.96,2024-10-07T14:00:00.000000,refund,5912,Seattle,AZ,US,pin,true,true,false,false,,00,0,116.24,false
114.18,2024-03-22T23:00:00.000000,atm_withdrawal,,Phoenix,WA,US,contactless,false,false,false,false,,00,1,142.15,false
166.06,2024-08-31T14:00:00.000000,refund,,Phoenix,AZ,US,atm,false,true,false,false,,51,3,49.14,false
248.99,2024-05-12T07:00:00.000000,atm_withdrawal,5912,Seattle,WA,US,pin,true,true,false,false,,00,0,67.88,false
185.94,2024-11-22T08:00:00.000000,refund,5814,Seattle,WA,US,pin,true,true,false,false,,00,1,122.58,false
258.65,2024-09-23T15:00:00.000000,purchase,,Seattle,WA,US,signature,true,true,false,false,,51,3,290.64,false
173.63,2024-11-16T07:00:00.000000,purchase,5814,Dallas,WA,US,signature,true,true,false,false,,00,3,277.63,false
211.67,2024-05-20T14:00:00.000000,purchase,5812,Dallas,WA,US,atm,false,true,false,false,,51,2,285.06,false
14.7,2024-02-09T22:00:00.000000,purchase,7011,Dallas,AZ,US,signature,false,true,false,false,,51,2,66.77,false
69.14,2024-05-26T07:00:00.000000,refund,5411,Seattle,WA,US,contactless,false,false,false,false,,00,1,201.4,false
87.53,2024-05-19T10:00:00.000000,refund,7011,Seattle,AZ,US,contactless,true,true,false,false,,00,0,60.85,false
24.86,2024-06-12T17:00:00.000000,purchase,7011,Phoenix,TX,US,pin,true,false,false,false,,51,0,61.37,false
70.6,2024-02-11T04:00:00.000000,purchase,,Dallas,TX,US,signature,false,true,false,false,,00,2,53.12,false
31.2,2024-03-18T07:00:00.000000,purchase,5814,Dallas,AZ,US,signature,true,true,false,false,,00,3,286.41,false
84.11,2024-07-15T22:00:00.000000,atm_withdrawal,5814,Dallas,WA,US,pin,true,true,false,false,,00,2,131.79,false
191.07,2024-03-19T22:00:00.000000,purchase,5912,Dallas,AZ,US,atm,false,true,false,false,,51,1,185.12,false
110.08,2024-04-19T02:00:00.000000,refund,5411,Seattle,TX,US,signature,true,true,false,false,,00,2,206.36,false
