amount,timestamp,transaction_type,mcc_code,merchant_city,merchant_state,merchant_country,entry_mode,pin_used,card_present,is_international,is_overdraft,overdraft_fee,response_code,txn_count_1h,txn_amount_1h,is_fraud
97.83,2024-02-06T20:00:00.000000,atm_withdrawal,,Seattle,TX,US,signature,false,true,false,false,,00,0,68.4,false
46.1,2024-05-10T13:00:00.000000,refund,5814,Dallas,TX,US,atm,true,true,false,false,,51,3,17.28,false
195.63,2024-03-24T01:00:00.000000,purchase,7011,Seattle,AZ,US,pin,false,true,false,false,,00,1,79.15,false
22.66,2024-02-13T21:00:00.000000,atm_withdrawal,5411,Dallas,TX,US,signature,true,true,true,false,,00,2,220.03,false
161.23,2024-07-14T16:00:00.000000,atm_withdrawal,5812,Phoenix,TX,US,contactless,false,true,false,false,,00,3,216.04,false
110.34,2024-12-09T09:00:00.000000,atm_withdrawal,5411,Phoenix,TX,US,atm,false,false,false,false,,00,2,273.1,false
18.34,2024-11-02T07:00:00.000000,purchase,,Dallas,TX,US,contactless,true,true,false,false,,00,0,284.08,false
152.72,2024-12-20T09:00:00.000000,atm_withdrawal,5812,Dallas,WA,US,contactless,false,false,false,false,,00,0,165.27,false
12.21,2024-01-24T14:00:00.000000,purchase,5814,Phoenix,AZ,US,signature,false,true,false,false,,00,1,276.58,false
130.66,2024-04-04T05:00:00.000000,atm_withdrawal,5814,Phoenix,WA,US,pin,true,true,false,false,,00,0,26.88,false
21.89,2024-05-17T14:00:00.000000,refund,5814,Seattle,AZ,US,contactless,false,true,false,false,,00,1,277.53,false
28.12,2024-01-02T08:00:00.000000,atm_withdrawal,7011,Dallas,AZ,US,atm,true,true,false,false,,00,2,130.21,false
127.93,2024-07-05T10:00:00.000000,purchase,5814,Phoenix,TX,US,signature,true,true,false,false,,51,1,57.88,false
248.23,2024-10-07T10:00:00.000000,refund,5411,Phoenix,WA,US,atm,false,true,false,false,,00,3,224.41,false
38.02,2024-05-05T01:00:00.000000,purchase,5814,Dallas,WA,US,signature,false,true,false,false,,51,1,257.58,false
67.75,2024-06-07T06:00:00.000000,atm_withdrawal,5814,Seattle,AZ,US,contactless,true,true,false,false,,00,1,115.73,false
188.6,2024-07-01T05:00:00.000000,purchase,5814,Phoenix,TX,US,atm,false,true,false,false,,00,1,27.95,false
284.36,2024-01-01T10:00:00.000000,purchase,5411,Dallas,WA,US,contactless,false,true,false,false,,00,2,261.88,false
173.55,2024-07-14T02:00:00.000000,refund,,Phoenix,TX,US,atm,true,true,false,false,,00,2,226.06,false
119.61,2024-08-31T08:00:00.000000,atm_withdrawal,5814,Dallas,AZ,US,atm,true,true,false,false,,51,1,179.1,false
292.9,2024-09-14T20:00:00.000000,purchase,5814,Seattle,AZ,US,contactless,false,true,false,false,,51,1,293.04,false
14.93,2024-04-12T07:00:00.000000,refund,5912,Seattle,WA,US,pin,true,true,false,false,,00,0,11.43,false
257.68,2024-09-15T00:00:00.000000,refund,5912,Seattle,TX,US,signature,true,true,false,false,,51,1,16.78,false
87.59,2024-02-16T08:00:00.000000,purchase,7011,Dallas,WA,US,contactless,true,true,false,false,,00,3,37.27,false
44.13,2024-02-15T04:00:00.000000,purchase,5814,Dallas,TX,US,signature,false,true,false,false,,51,2,6.54,false
36.22,2024-07-23T18:00:00.000000,purchase,5912,Phoenix,WA,US,signature,true,true,false,false,,00,2,212.49,false
93.24,2024-01-22T12:00:00.000000,atm_withdrawal,,Phoenix,WA,US,atm,true,false,false,false,,00,3,189.03,false
245.02,2024-01-12T09:00:00.000000,purchase,5411,Seattle,AZ,US,atm,true,true,false,false,,00,2,33.7,false
55.04,2024-06-04T20:00:00.000000,purchase,7011,Seattle,TX,US,pin,false,true,false,false,,00,2,48.61,false
174.9,2024-04-29T02:00:00.000000,atm_withdrawal,5411,Phoenix,AZ,US,contactless,true,true,false,false,,51,0,54.28,false
192.04,2024-10-26T16:00:00.000000,atm_withdrawal,7011,Seattle,TX,US,signature,true,false,false,false,,00,2,182.78,false
112.35,2024-03-20T21:00:00.000000,purchase,5912,Phoenix,AZ,US,signature,false,false,false,false,,00,0,201.75,false
164.78,2024-11-01T12:00:00.000000,atm_withdrawal,5411,Phoenix,TX,US,contactless,true,true,false,false,,00,2,290.87,false
19.77,2024-06-15T23:00:00.000000,refund,5814,Phoenix,WA,US,contactless,false,true,false,false,,00,0,108.19,false
18.82,2024-09-10T04:00:00.000000,purchase,7011,Phoenix,TX,US,atm,true,true,false,false,,00,2,293.7,false
62.58,2024-05-25T23:00:00.000000,refund,,Phoenix,TX,US,contactless,true,true,false,false,,00,1,130.34,false
204.44,2024-11-12T20:00:00.000000,atm_withdrawal,5411,Seattle,TX,US,contactless,false,true,false,true,,00,1,117.27,false
128.85,2024-03-15T01:00:00.000000,refund,5912,Dallas,AZ,US,signature,true,true,false,false,,00,1,75.99,false
94.93,2024-09-19T20:00:00.000000,atm_withdrawal,5912,Dallas,AZ,US,contactless,false,true,false,false,,00,1,69.79,false
176.08,2024-08-07T23:00:00.000000,atm_withdrawal,5812,Seattle,TX,US,pin,true,true,false,false,,00,3,292.38,false
136.5,2024-12-24T16:00:00.000000,refund,,Phoenix,WA,US,pin,false,false,false,false,,00,0,298.47,false
90.63,2024-03-12T16:00:00.000000,atm_withdrawal,5411,Seattle,TX,US,signature,true,false,false,false,,00,1,211.76,false
238.52,2024-09-15T18:00:00.000000,refund,5912,Seattle,TX,US,pin,false,false,false,false,,00,2,52.53,false
210.0,2024-01-09T21:00:00.000000,refund,5814,Dallas,AZ,US,contactless,false,true,false,false,,00,0,53.97,false
73.98,2024-10-26T22:00:00.000000,atm_withdrawal,5812,Dallas,WA,US,atm,true,true,false,false,,00,2,45.67,false
172.75,2024-12-15T22:00:00.000000,purchase,7011,Seattle,WA,US,pin,false,true,false,false,,00,3,105.3,false
158.03,2024-11-25T07:00:00.000000,refund,5411,Dallas,WA,US,atm,true,true,false,false,,51,2,221.15,false
262.67,2024-02-13T00:00:00.000000,refund,5912,Seattle,WA,US,atm,true,true,false,false,,00,0,17.68,false
219.1,2024-01-22T04:00:00.000000,atm_withdrawal,5812,Seattle,AZ,US,contactless,true,false,false,false,,00,0,159.06,false
87.09,2024-11-22T11:00:00.000000,refund,5814,Phoenix,TX,US,pin,true,true,false,false,,51,0,204.21,false
294.07,2024-02-23T12:00:00.000000,refund,5411,Dallas,TX,US,signature,false,false,false,false,,00,3,10.07,false
36.3,2024-08-19T17:00:00.000000,atm_withdrawal,5411,Seattle,TX,US,signature,false,false,false,false,,00,3,131.87,false
126.02,2024-01-26T20:00:00.000000,refund,5814,Phoenix,AZ,US,atm,false,true,false,false,,00,3,237.27,false
227.39,2024-01-10T20:00:00.000000,purchase,7011,Phoenix,TX,US,contactless,false,true,false,false,,00,0,172.71,false
46.44,2024-09-29T21:00:00.000000,purchase,5411,Dallas,TX,US,contactless,true,true,false,false,,00,2,135.48,false
147.2,2024-05-05T15:00:00.000000,purchase,7011,Dallas,WA,US,signature,false,true,false,false,,00,1,264.41,false
12.72,2024-05-15T00:00:00.000000,atm_withdrawal,,Dallas,WA,US,signature,true,true,false,false,,00,3,180.3,false
200.8,2024-08-21T02:00:00.000000,refund,5812,Seattle,AZ,US,contactless,true,true,false,false,,00,2,101.09,false
229.61,2024-09-14T17:00:00.000000,refund,7011,Phoenix,WA,US,pin,true,true,false,false,,00,3,118.78,false
172.33,2024-02-17T21:00:00.000000,purchase,5912,Seattle,WA,US,atm,true,false,false,false,,00,3,283.01,false
262.77,2024-09-26T02:00:00.000000,refund,5814,Dallas,AZ,US,contactless,false,true,false,false,,00,2,257.82,false
94.81,2024-08-30T08:00:00.000000,atm_withdrawal,5912,Phoenix,WA,US,signature,true,true,true,false,,00,3,274.45,false
208.89,2024-02-08T08:00:00.000000,refund,5814,Dallas,TX,US,atm,false,true,false,false,,00,2,168.25,false
178.72,2024-04-30T23:00:00.000000,purchase,5912,Seattle,AZ,US,pin,false,true,false,false,,00,0,42.74,false
174.39,2024-04-15T07:00:00.000000,refund,5812,Phoenix,AZ,US,pin,true,false,false,false,,00,0,52.51,false
137.41,2024-11-28T14:00:00.000000,refund,5814,Phoenix,AZ,US,atm,false,true,false,false,,00,3,114.99,false
252.15,2024-09-09T12:00:00.000000,purchase,5812,Phoenix,AZ,US,pin,true,true,false,false,,00,0,207.2,false
283.46,2024-02-09T15:00:00.000000,purchase,,Seattle,AZ,US,atm,false,false,false,false,,00,2,1.38,false
142.76,2024-12-16T09:00:00.000000,purchase,5812,Seattle,TX,US,atm,true,true,false,false,,00,1,240.62,false
199.58,2024-01-24T19:00:00.000000,refund,7011,Dallas,AZ,US,signature,false,true,false,false,,00,0,235.79,false
19.14,2024-11-19T20:00:00.000000,refund,5812,Phoenix,AZ,US,atm,true,true,false,false,,00,1,154.45,false
210.75,2024-04-11T02:00:00.000000,refund,5411,Phoenix,AZ,US,contactless,true,true,false,true,,00,0,1.68,false
194.49,2024-11-03T04:00:00.000000,purchase,,Phoenix,TX,US,pin,true,true,false,false,,51,3,239.42,false
297.94,2024-06-18T08:00:00.000000,refund,5411,Phoenix,AZ,US,atm,false,true,false,false,,00,0,124.23,false
246.76,2024-11-29T23:00:00.000000,atm_withdrawal,7011,Phoenix,TX,US,atm,false,true,false,false,,00,2,200.8,false
86.09,2024-12-20T09:00:00.000000,atm_withdrawal,,Seattle,TX,US,atm,true,true,false,false,,00,0,170.96,false
116.35,2024-11-14T18:00:00.000000,atm_withdrawal,5912,Dallas,WA,US,contactless,true,false,false,false,,00,2,218.51,false
200.93,2024-03-09T00:00:00.000000,purchase,5411,Phoenix,TX,US,contactless,true,true,false,false,,51,3,122.64,false
7.75,2024-09-03T01:00:00.000000,purchase,,Phoenix,AZ,US,contactless,false,false,false,false,,00,0,287.98,false
139.05,2024-09-05T08:00:00.000000,atm_withdrawal,5814,Phoenix,WA,US,contactless,false,true,true,false,,00,1,286.65,false
51.25,2024-12-10T03:00:00.000000,purchase,5814,Phoenix,TX,US,atm,false,true,false,false,,51,3,278.68,false
36.01,2024-12-20T06:00:00.000000,purchase,5411,Phoenix,TX,US,atm,true,false,false,false,,00,0,184.56,false
18.63,2024-12-11T15:00:00.000000,atm_withdrawal,7011,Phoenix,TX,US,contactless,true,true,false,false,,00,0,94.9,false
230.7,2024-05-28T22:00:00.000000,refund,7011,Seattle,TX,US,pin,true,false,false,false,,00,0,112.98,false
39.67,2024-09-21T09:00:00.000000,atm_withdrawal,,Phoenix,TX,US,atm,true,true,false,false,,00,2,80.68,false
75.04,2024-08-25T14:00:00.000000,atm_withdrawal,5411,Seattle,WA,US,atm,false,true,false,false,,51,1,271.13,false
117.89,2024-08-26T03:00:00.000000,purchase,7011,Phoenix,AZ,US,atm,false,true,false,false,,00,0,237.66,false
261.56,2024-10-08T06:00:00.000000,purchase,,Dallas,WA,US,contactless,false,true,false,false,,00,0,236.44,false
25.09,2024-06-08T02:00:00.000000,atm_withdrawal,5411,Seattle,TX,US,signature,false,false,false,false,,00,2,246.37,false
135.31,2024-08-30T00:00:00.000000,refund,5814,Phoenix,AZ,US,contactless,true,true,false,false,,00,1,297.23,false
165.28,2024-05-28T14:00:00.000000,atm_withdrawal,5812,Dallas,TX,US,signature,true,true,false,false,,51,3,206.4,false
265.13,2024-02-09T16:00:00.000000,purchase,5814,Phoenix,AZ,US,atm,true,true,false,false,,51,1,95.48,false
245.96,2024-08-18T08:00:00.000000,purchase,5814,Dallas,TX,US,atm,false,false,false,false,,51,1,227.27,false
259.33,2024-07-17T06:00:00.000000,purchase,7011,Phoenix,WA,US,signature,true,true,false,false,,00,1,78.69,false
84.25,2024-04-17T02:00:00.000000,atm_withdrawal,5912,Seattle,TX,US,pin,false,true,false,false,,00,3,183.27,false
125.17,2024-10-24T02:00:00.000000,atm_withdrawal,5912,Phoenix,AZ,US,contactless,false,true,false,false,,51,3,47.54,false
108.27,2024-03-13T23:00:00.000000,atm_withdrawal,5812,Dallas,AZ,US,contactless,true,false,false,false,,51,2,257.3,false
265.37,2024-09-25T08:00:00.000000,purchase,7011,Seattle,AZ,US,signature,true,true,false,false,,00,2,146.62,false
287.36,2024-07-03T04:00:00.000000,purchase,,Seattle,TX,US,contactless,true,true,false,false,,51,0,82.53,false
46.13,2024-11-04T20:00:00.000000,purchase,5812,Dallas,AZ,US,signature,true,true,false,false,,00,1,276.87,false
53.69,2024-09-17T08:00:00.000000,refund,7011,Dallas,TX,US,atm,false,true,false,false,,51,3,24.89,false
70.36,2024-02-27T22:00:00.000000,refund,5812,Phoenix,WA,US,pin,false,true,false,false,,51,0,279.06,false
70.77,2024-07-05T07:00:00.000000,purchase,5912,Seattle,AZ,US,pin,true,true,false,false,,00,0,227.08,false
146.0,2024-09-11T15:00:00.000000,atm_withdrawal,5912,Seattle,TX,US,pin,true,false,false,false,,00,2,44.73,false
177.15,2024-07-20T00:00:00.000000,atm_withdrawal,,Phoenix,AZ,US,contactless,true,true,false,false,,51,3,228.32,false
79.56,2024-03-22T00:00:00.000000,purchase,5912,Seattle,TX,US,atm,true,true,false,false,,51,3,172.0,false
2.22,2024-09-08T21:00:00.000000,purchase,,Seattle,WA,US,contactless,false,true,false,false,,00,1,272.16,false
126.27,2024-08-18T12:00:00.000000,refund,5411,Dallas,TX,US,contactless,false,false,false,false,,00,1,175.96,false
111.41,2024-06-03T23:00:00.000000,atm_withdrawal,5814,Phoenix,TX,US,atm,true,true,false,false,,00,2,128.18,false
170.34,2024-03-13T13:00:00.000000,refund,5912,Phoenix,WA,US,atm,true,true,false,false,,00,3,280.01,false
