amount,currency,amount_usd,timestamp,settlement_time_mins,network,wire_type,originator_name,originator_country,beneficiary_name,beneficiary_country,imad,purpose_code,ofac_screened,aml_alert,is_suspicious
498689.63,USD,402290.33,2024-01-08T10:00:00.000000,113,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000000,SALA,true,false,false
77782.55,USD,63541.83,2024-01-09T09:00:00.000000,11,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000001,SALA,true,false,false
251822.76,USD,103879.14,2024-01-10T13:00:00.000000,16,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000002,SVCS,true,false,false
380333.26,USD,272780.02,2024-01-11T12:00:00.000000,86,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000003,GDDS,true,false,false
431940.43,USD,78689.33,2024-01-12T12:00:00.000000,59,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000004,SVCS,true,false,false
84892.25,USD,99909.14,2024-01-15T11:00:00.000000,111,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000005,SALA,true,false,false
88391.18,USD,236687.75,2024-01-16T10:00:00.000000,40,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000006,GDDS,true,false,false
343435.79,USD,438498.12,2024-01-17T17:00:00.000000,10,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000007,SVCS,true,false,false
302240.43,USD,46938.6,2024-01-18T10:00:00.000000,5,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000008,SALA,true,false,false
198535.98,USD,405930.9,2024-01-19T15:00:00.000000,47,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000009,TRAD,true,false,false
301985.33,USD,429423.78,2024-01-22T09:00:00.000000,103,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000010,SVCS,true,false,false
239344.45,USD,57975.28,2024-01-23T09:00:00.000000,21,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000011,GDDS,true,false,false
133192.92,USD,329551.0,2024-01-24T10:00:00.000000,86,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000012,SVCS,true,false,false
281080.69,USD,274888.09,2024-01-25T12:00:00.000000,38,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000013,SVCS,true,false,false
471791.12,USD,17231.35,2024-01-26T12:00:00.000000,25,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000014,SVCS,true,false,false
343338.87,USD,55698.76,2024-01-29T17:00:00.000000,99,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000015,TRAD,true,false,false
66130.35,USD,379247.1,2024-01-30T09:00:00.000000,61,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000016,GDDS,true,false,false
443546.34,USD,125825.95,2024-01-31T17:00:00.000000,75,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000017,GDDS,true,false,false
377930.12,USD,209142.89,2024-02-01T12:00:00.000000,95,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000018,GDDS,true,false,false
386613.38,USD,245865.62,2024-02-02T17:00:00.000000,59,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000019,SALA,true,false,false
176685.98,USD,433678.69,2024-02-05T15:00:00.000000,76,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000020,GDDS,true,false,false
153815.06,USD,452197.0,2024-02-06T12:00:00.000000,6,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000021,GDDS,true,false,false
87497.3,USD,90672.19,2024-02-07T16:00:00.000000,19,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000022,TRAD,true,false,false
11590.2,USD,11056.14,2024-02-08T13:00:00.000000,14,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000023,SALA,true,false,false
363825.11,USD,201306.66,2024-02-09T09:00:00.000000,118,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000024,SALA,true,false,false
362643.53,USD,463993.86,2024-02-12T11:00:00.000000,93,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000025,SVCS,true,false,false
486225.17,USD,394713.38,2024-02-13T15:00:00.000000,120,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000026,SALA,true,false,false
383361.48,USD,149772.12,2024-02-14T14:00:00.000000,24,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000027,SALA,true,false,false
258764.02,USD,351329.84,2024-02-15T13:00:00.000000,74,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000028,TRAD,true,false,false
62141.3,USD,367947.61,2024-02-16T11:00:00.000000,9,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000029,GDDS,true,false,false
316397.09,USD,393847.15,2024-02-19T12:00:00.000000,111,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000030,SALA,true,false,false
422417.98,USD,334316.94,2024-02-20T14:00:00.000000,52,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000031,SALA,true,false,false
