amount,currency,amount_usd,timestamp,settlement_time_mins,network,wire_type,originator_name,originator_country,beneficiary_name,beneficiary_country,imad,purpose_code,ofac_screened,aml_alert,is_suspicious
386434.16,USD,349335.75,2024-01-08T14:00:00.000000,36,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000000,SVCS,true,false,false
73376.71,USD,478692.39,2024-01-09T11:00:00.000000,94,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000001,TRAD,true,false,false
131331.27,USD,229141.56,2024-01-10T15:00:00.000000,71,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000002,GDDS,true,false,false
201565.35,USD,469140.39,2024-01-11T09:00:00.000000,117,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000003,SALA,true,true,false
436996.77,USD,494138.65,2024-01-12T10:00:00.000000,117,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000004,TRAD,true,false,false
49484.84,USD,477950.31,2024-01-15T17:00:00.000000,38,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000005,SALA,true,false,false
230101.83,USD,188671.58,2024-01-16T10:00:00.000000,76,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000006,TRAD,true,false,false
279225.56,USD,118026.54,2024-01-17T14:00:00.000000,119,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000007,SVCS,true,false,false
442858.07,USD,121154.46,2024-01-18T09:00:00.000000,30,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000008,SVCS,true,false,true
411447.12,USD,106386.02,2024-01-19T17:00:00.000000,112,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000009,GDDS,true,false,false
433352.39,USD,110142.95,2024-01-22T12:00:00.000000,62,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000010,TRAD,true,false,false
146426.32,USD,315792.53,2024-01-23T09:00:00.000000,22,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000011,GDDS,true,true,false
213495.29,USD,451151.09,2024-01-24T10:00:00.000000,58,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000012,SALA,true,false,false
185797.87,USD,421813.41,2024-01-25T15:00:00.000000,20,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000013,SVCS,true,false,false
443254.49,USD,244941.98,2024-01-26T15:00:00.000000,55,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000014,SALA,true,false,false
479288.29,USD,329959.24,2024-01-29T10:00:00.000000,61,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000015,GDDS,true,false,false
83951.24,USD,401825.43,2024-01-30T12:00:00.000000,45,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000016,SVCS,true,false,false
96346.69,USD,51541.46,2024-01-31T10:00:00.000000,14,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000017,GDDS,true,false,false
123658.86,USD,333686.97,2024-02-01T17:00:00.000000,90,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000018,TRAD,true,false,false
124334.68,USD,455790.8,2024-02-02T15:00:00.000000,35,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000019,SALA,true,false,false
247631.74,USD,393328.41,2024-02-05T09:00:00.000000,59,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000020,GDDS,true,false,false
298670.52,USD,377568.83,2024-02-06T10:00:00.000000,14,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000021,TRAD,true,false,false
138745.84,USD,244236.04,2024-02-07T12:00:00.000000,32,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000022,GDDS,true,false,false
12005.87,USD,97475.64,2024-02-08T09:00:00.000000,90,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000023,TRAD,true,false,false
215283.79,USD,396676.36,2024-02-09T15:00:00.000000,43,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000024,TRAD,true,false,false
190934.25,USD,172933.43,2024-02-12T09:00:00.000000,105,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000025,TRAD,true,false,false
287507.2,USD,402403.55,2024-02-13T12:00:00.000000,20,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000026,GDDS,true,false,false
477017.98,USD,486112.07,2024-02-14T09:00:00.000000,119,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000027,SVCS,true,false,false
348341.89,USD,203960.86,2024-02-15T17:00:00.000000,104,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000028,TRAD,true,false,false
262590.8,USD,206679.54,2024-02-16T11:00:00.000000,24,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000029,SALA,true,false,false
312620.45,USD,473930.53,2024-02-19T13:00:00.000000,96,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000030,SALA,true,false,false
341338.04,USD,365151.35,2024-02-20T15:00:00.000000,87,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000031,TRAD,true,false,false
36456.52,USD,93301.79,2024-02-21T11:00:00.000000,89,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000032,TRAD,true,false,false
450771.17,USD,72248.8,2024-02-22T17:00:00.000000,51,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000033,GDDS,true,false,false
392185.05,USD,84063.84,2024-02-23T10:00:00.000000,23,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000034,SALA,true,false,false
438511.46,USD,453377.53,2024-02-26T13:00:00.000000,37,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000035,SVCS,true,false,false
400957.83,USD,405185.97,2024-02-27T17:00:00.000000,118,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000036,TRAD,true,false,false
202265.66,USD,81625.41,2024-02-28T11:00:00.000000,22,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000037,SALA,true,false,false
205499.63,USD,414990.13,2024-02-29T10:00:00.000000,64,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000038,TRAD,true,false,false
60733.18,USD,490349.91,2024-03-01T12:00:00.000000,33,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000039,TRAD,true,false,false
320801.89,USD,332061.46,2024-03-04T14:00:00.000000,100,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000040,TRAD,true,false,false
40501.43,USD,181699.68,2024-03-05T10:00:00.000000,17,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000041,SALA,true,false,false
43000.33,USD,278843.42,2024-03-06T17:00:00.000000,55,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000042,SVCS,true,false,false
112293.96,USD,74182.09,2024-03-07T10:00:00.000000,118,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000043,TRAD,true,false,false
89528.56,USD,16979.04,2024-03-08T09:00:00.000000,67,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000044,SVCS,true,false,false
176626.29,USD,485736.19,2024-03-11T12:00:00.000000,25,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000045,GDDS,true,false,false
35762.05,USD,328340.59,2024-03-12T16:00:00.000000,90,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000046,GDDS,true,false,false
10114.31,USD,268024.71,2024-03-13T17:00:00.000000,111,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000047,GDDS,true,false,false
84119.82,USD,467476.15,2024-03-14T15:00:00.000000,33,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000048,SALA,true,false,false
59717.54,USD,222566.62,2024-03-15T14:00:00.000000,25,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000049,SALA,true,false,false
188168.86,USD,437154.03,2024-03-18T16:00:00.000000,95,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000050,SALA,true,false,false
22495.43,USD,414816.07,2024-03-19T16:00:00.000000,60,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000051,TRAD,true,false,false
438422.86,USD,113410.75,2024-03-20T14:00:00.000000,70,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000052,SALA,true,false,false
310893.8,USD,133399.06,2024-03-21T13:00:00.000000,56,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000053,SVCS,true,false,false
