amount,timestamp,direction,sender_token,receiver_token,payment_category,device_type,is_new_recipient,recipient_enrolled,sender_txn_count_24h,sender_amount_24h,account_age_days,is_disputed,dispute_reason,dispute_outcome
321.52,2024-02-09T11:00:00.000000,receive,tok_000000,tok_000001,utilities,web,false,true,0,612.68,494,false,,
17.38,2024-01-11T05:00:00.000000,receive,tok_000001,tok_000002,food,mobile_android,false,true,0,563.22,1024,false,,
141.14,2024-05-30T11:00:00.000000,send,tok_000002,tok_000003,food,web,false,true,4,645.03,1307,false,,
115.49,2024-02-08T07:00:00.000000,send,tok_000003,tok_000004,utilities,mobile_ios,false,true,5,646.74,1217,false,,
369.55,2024-02-02T19:00:00.000000,receive,tok_000004,tok_000005,food,web,false,true,2,966.81,146,false,,
339.97,2024-03-20T05:00:00.000000,receive,tok_000005,tok_000006,rent,mobile_android,false,true,4,331.6,1082,false,,
446.63,2024-01-12T05:00:00.000000,receive,tok_000006,tok_000007,rent,mobile_ios,false,true,2,796.23,25,false,,
48.03,2024-02-24T15:00:00.000000,send,tok_000007,tok_000008,food,mobile_ios,false,false,0,105.94,740,false,,
213.85,2024-03-05T15:00:00.000000,send,tok_000008,tok_000009,rent,mobile_ios,false,true,4,98.61,649,false,,
19.75,2024-01-28T05:00:00.000000,send,tok_000009,tok_000010,utilities,web,false,true,5,222.0,271,false,,
113.23,2024-05-24T07:00:00.000000,send,tok_000010,tok_000011,food,web,false,true,5,746.85,793,false,,
255.15,2024-06-08T17:00:00.000000,receive,tok_000011,tok_000012,utilities,mobile_ios,true,false,3,557.99,1165,false,,
18.14,2024-02-10T01:00:00.000000,send,tok_000012,tok_000013,rent,web,false,true,1,687.66,862,false,,
103.42,2024-02-11T23:00:00.000000,send,tok_000013,tok_000014,food,mobile_android,false,true,0,221.03,749,false,,
326.69,2024-04-15T18:00:00.000000,receive,tok_000014,tok_000015,utilities,mobile_ios,false,true,0,374.12,1119,false,,
274.75,2024-02-16T17:00:00.000000,receive,tok_000015,tok_000016,rent,mobile_android,false,true,4,463.06,1399,false,,
114.12,2024-03-27T07:00:00.000000,receive,tok_000016,tok_000017,food,mobile_android,true,true,1,679.56,354,false,,
296.69,2024-06-21T17:00:00.000000,send,tok_000017,tok_000018,personal,web,false,false,1,690.44,965,false,,
405.67,2024-03-05T02:00:00.000000,receive,tok_000018,tok_000019,rent,web,false,true,1,150.74,150,false,,
8.22,2024-02-11T16:00:00.000000,receive,tok_000019,tok_000020,rent,mobile_ios,false,false,4,997.7,35,false,,
403.88,2024-01-29T06:00:00.000000,send,tok_000020,tok_000021,personal,mobile_android,false,true,4,482.77,1203,false,,
350.58,2024-01-11T09:00:00.000000,receive,tok_000021,tok_000022,personal,web,true,true,2,295.43,139,false,,
173.42,2024-02-27T00:00:00.000000,receive,tok_000022,tok_000023,utilities,mobile_android,false,true,2,920.55,29,false,,
81.96,2024-04-28T05:00:00.000000,receive,tok_000023,tok_000024,rent,web,false,true,2,85.85,537,false,,
