amount,timestamp,direction,sender_token,receiver_token,payment_category,device_type,is_new_recipient,recipient_enrolled,sender_txn_count_24h,sender_amount_24h,account_age_days,is_disputed,dispute_reason,dispute_outcome
165.3,2024-02-10T16:00:00.000000,send,tok_000000,tok_000001,personal,mobile_ios,false,true,3,835.01,230,false,,
79.67,2024-06-14T15:00:00.000000,send,tok_000001,tok_000002,food,web,false,true,2,127.79,454,false,,
327.21,2024-04-03T22:00:00.000000,receive,tok_000002,tok_000003,rent,web,false,true,5,443.31,520,false,,
40.86,2024-03-05T22:00:00.000000,send,tok_000003,tok_000004,rent,web,false,true,5,836.32,1331,false,,
270.26,2024-04-30T01:00:00.000000,send,tok_000004,tok_000005,personal,web,true,false,5,804.94,195,false,,
186.02,2024-01-26T06:00:00.000000,receive,tok_000005,tok_000006,personal,web,false,true,5,159.22,385,false,,
33.71,2024-05-04T23:00:00.000000,send,tok_000006,tok_000007,food,mobile_ios,true,true,1,352.92,1088,false,,
256.18,2024-06-20T01:00:00.000000,receive,tok_000007,tok_000008,personal,mobile_android,false,true,3,722.47,1373,false,,
23.56,2024-02-12T16:00:00.000000,send,tok_000008,tok_000009,personal,web,true,true,0,376.89,516,true,,
219.65,2024-04-21T10:00:00.000000,send,tok_000009,tok_000010,food,mobile_android,false,true,0,958.4,1453,false,,
39.58,2024-04-14T04:00:00.000000,receive,tok_000010,tok_000011,personal,web,false,true,3,208.06,1003,false,,
49.9,2024-04-18T00:00:00.000000,send,tok_000011,tok_000012,personal,mobile_ios,false,true,4,950.94,465,false,,
215.14,2024-04-02T04:00:00.000000,receive,tok_000012,tok_000013,rent,mobile_android,false,true,4,504.83,1135,false,,
414.29,2024-01-25T17:00:00.000000,receive,tok_000013,tok_000014,rent,web,true,true,0,227.27,939,false,,
66.28,2024-04-03T18:00:00.000000,send,tok_000014,tok_000015,food,web,false,true,3,452.69,464,false,,
115.5,2024-03-28T11:00:00.000000,receive,tok_000015,tok_000016,utilities,web,false,true,3,130.94,1109,false,,
315.58,2024-04-28T08:00:00.000000,send,tok_000016,tok_000017,personal,mobile_android,false,true,4,706.47,1173,false,,
474.12,2024-06-29T18:00:00.000000,send,tok_000017,tok_000018,utilities,mobile_ios,false,true,1,260.76,1427,false,,
290.67,2024-04-09T04:00:00.000000,receive,tok_000018,tok_000019,rent,mobile_android,false,true,3,899.62,232,false,,
201.36,2024-05-13T13:00:00.000000,receive,tok_000019,tok_000020,personal,mobile_android,false,true,2,587.56,1052,false,,
